model,capacity
wdc wuh722222ale6l4,22
toshiba mg10aca20te,20
st18000nm000j,18
st16000nm000j,16
st16000nm001g,16
st16000nm002j,16
st16000nm005g,16
toshiba mg08aca16ta,16
toshiba mg08aca16te,16
toshiba mg08aca16tey,16
wdc wuh721816ale6l0,16
wdc wuh721816ale6l4,16
wuh721816ale6l4,16
st14000nm000j,14
st14000nm0018,14
st14000nm001g,14
st14000nm0138,14
toshiba mg07aca14ta,14
toshiba mg07aca14tey,14
wdc wuh721414ale6l4,14
hgst huh721212ale600,12
hgst huh721212ale604,12
hgst huh721212aln604,12
st12000nm0007,12
st12000nm0008,12
st12000nm000j,12
st12000nm001g,12
st12000nm003g,12
st12000nm0117,12
hgst huh721010ale600,10
st10000nm001g,10
st10000nm0086,10
hgst huh728080ale600,8
hgst huh728080ale604,8
hgst hus728t8tale6l4,8
st8000dm002,8
st8000dm004,8
st8000dm005,8
st8000nm000a,8
st8000nm0055,8
toshiba hdwf180,8
st6000dm001,6
st6000dm004,6
st6000dx000,6
toshiba hdwe160,6
wdc wd60efrx,6
toshiba md04aba500v,5
00md00,4
hgst hds5c4040ale630,4
hgst hds724040ale640,4
hgst hms5c4040ale640,4
hgst hms5c4040ble640,4
hgst hms5c4040ble641,4
hgst hus726040ale610,4
hgst hus726040aln610,4
hitachi hds5c4040ale630,4
hitachi hds724040ale640,4
st4000dm000,4
st4000dm001,4
st4000dm004,4
st4000dm005,4
st4000dx000,4
st4000dx002,4
toshiba md04aba400v,4
wdc wd40efrx,4
hitachi hds5c3030ala630,3
hitachi hds5c3030ble630,3
hitachi hds723030ala640,3
hitachi hds723030ble640,3
st3000dm001,3
st33000651as,3
toshiba dt01aca300,3
wdc wd30efrx,3
wdc wd30ezrs,3
wdc wd30ezrx,3
hitachi hds722020ala330,2
hitachi hds723020bla642,2
samsung hd154ui,2
seagate barracuda ssd za2000cm10002,2
st1500dl001,2
st1500dl003,2
st1500dm003,2
st2000dl001,2
st2000dl003,2
st2000dm001,2
st2000vn000,2
st31500341as,2
st31500541as,2
st32000542as,2
st320005xxxx,2
wdc wd15eads,2
wdc wd15ears,2
wdc wd20efrx,2
hitachi hdt721010sla360,1
samsung hd103uj,1
samsung ssd 850 evo 1tb,1
seagate barracuda 120 ssd za500cm10003,1
seagate barracuda ssd za500cm10002,1
seagate firecuda 120 ssd za500gm10001,1
st1000lm024 hn,1
st3500320as,1
st500lm012 hn,1
st500lm021,1
st500lm030,1
toshiba mq01abf050,1
toshiba mq01abf050m,1
wdc wd1000fyps,1
wdc wd1001fals,1
wdc wd10eacs,1
wdc wd10eads,1
wdc wd10eadx,1
wdc wd10eals,1
wdc wd10ears,1
wdc wd10earx,1
wdc wd5000aajs,1
wdc wd5000bpkt,1
wdc wd5000lpcx,1
wdc wd5000lpvx,1
wdc wd5002abys,1
wdc wd5003abyx,1
